n,y,area_type,value
Maldives,2045,large_city,0.20334611021340002
Maldives,2045,town,0.1333633579971
Maldives,2050,city,0.04295437573350001
Maldives,2050,large_city,0.2225445752288
Maldives,2050,town,0.1435903417377
Maldives,2055,city,0.046025204110200016
Maldives,2055,large_city,0.23845439081856004
Maldives,2055,town,0.15385568231124
Maldives,2060,city,0.04872326472720001
Maldives,2060,large_city,0.25243291439616
Maldives,2060,town,0.16287491351664
Maldives,2065,city,0.050916470610600006
Maldives,2065,large_city,0.26379580963968
Maldives,2065,town,0.17020648746971997
Maldives,2070,city,0.05262926162130002
Maldives,2070,large_city,0.27266969830464005
Maldives,2070,town,0.17593210313406002
Maldives,2075,city,0.05381002441395002
Maldives,2075,large_city,0.27878717410656007
Maldives,2075,town,0.17987922446949
Maldives,2080,city,0.05441106924540002
Maldives,2080,large_city,0.2819011587571201
Maldives,2080,town,0.18188843147748002
Maldives,2085,city,0.05443485666780002
Maldives,2085,large_city,0.28202440025984005
Maldives,2085,town,0.18196794943236
Maldives,2090,city,0.054006446743200015
Maldives,2090,large_city,0.27980482884096003
Maldives,2090,town,0.18053583625584
Maldives,2095,city,0.05334975141300001
Maldives,2095,large_city,0.2764025216064
Maldives,2095,town,0.17834059758059997
Maldives,2100,city,0.052670696743350016
Maldives,2100,large_city,0.27288437169888
Maldives,2100,town,0.17607061482777
Nepal,2011,city,1.4569893046800002
Nepal,2011,large_city,1.9426524062400001
Nepal,2011,town,1.26570988908
Nepal,2012,city,1.4837900695357893
Nepal,2012,large_city,1.9993133883284206
Nepal,2012,town,1.288167942135789
Nepal,2013,city,1.5104842117842108
Nepal,2013,large_city,2.0567662034315792
Nepal,2013,town,1.3104965847842105
Nepal,2014,city,1.5395359885073685
Nepal,2014,large_city,2.1184090881852633
Nepal,2014,town,1.3348321233073683
Nepal,2015,city,1.5731301876573685
Nepal,2015,large_city,2.187394420385263
Nepal,2015,town,1.3630630919573683
Nepal,2016,city,1.6133637346547367
Nepal,2016,large_city,2.266880619890526
Nepal,2016,town,1.3969968454547366
Nepal,2017,city,1.6586692114610524
Nepal,2017,large_city,2.354950653877894
Nepal,2017,town,1.4352649346610522
Nepal,2018,city,1.7057493686210528
Nepal,2018,large_city,2.4471180967578947
Nepal,2018,town,1.4750065346210528
Nepal,2019,city,1.7533382701910525
Nepal,2019,large_city,2.5416478655178945
Nepal,2019,town,1.5151237642910527
Nepal,2020,city,1.8144820519578948
Nepal,2020,large_city,2.657693192084211
Nepal,2020,town,1.5668807559578948
Nepal,2025,city,2.0780113450010034
Nepal,2025,large_city,3.204864605657653
Nepal,2025,town,1.788101278601343
Nepal,2030,city,2.34632088428608
Nepal,2030,large_city,3.8089942931814393
Nepal,2030,town,2.0114821921324797
Nepal,2035,city,2.6405472252723197
Nepal,2035,large_city,4.370624866549759
Nepal,2035,town,2.2604122665779194
Nepal,2040,city,2.928619858486404
Nepal,2040,large_city,4.942240526329872
Nepal,2040,town,2.5032800986637236
Nepal,2045,city,3.2091568546665306
Nepal,2045,large_city,5.521401393268291
Nepal,2045,town,2.7389087094151803
Nepal,2050,city,3.4781651555996156
Nepal,2050,large_city,6.100899861823488
Nepal,2050,town,2.963903448496896
Nepal,2055,city,3.7645037804012396
Nepal,2055,large_city,6.603154124728319
Nepal,2055,town,3.2079056736704397
Nepal,2060,city,4.030290399075882
Nepal,2060,large_city,7.0693589978741755
Nepal,2060,town,3.4343945953899415
Nepal,2065,city,4.276265703205651
