trip_dist,area_type,y,n,value
11_20,town,2045,Bangladesh,3.334891279412703
21_30,city,2045,Bangladesh,3.94123514839683
21_30,large_city,2045,Bangladesh,4.547579017380957
21_30,rural,2045,Bangladesh,2.340487334278733
21_30,town,2045,Bangladesh,3.334891279412703
31_50,city,2045,Bangladesh,3.94123514839683
31_50,large_city,2045,Bangladesh,4.547579017380957
31_50,rural,2045,Bangladesh,2.340487334278733
31_50,town,2045,Bangladesh,3.334891279412703
51+,city,2045,Bangladesh,3.94123514839683
51+,large_city,2045,Bangladesh,4.547579017380957
51+,rural,2045,Bangladesh,2.340487334278733
51+,town,2045,Bangladesh,3.334891279412703
No_travel,city,2045,Bangladesh,3.94123514839683
No_travel,large_city,2045,Bangladesh,4.547579017380957
No_travel,rural,2045,Bangladesh,2.340487334278733
No_travel,town,2045,Bangladesh,3.334891279412703
00_01,city,2046,Bangladesh,3.9683380505197574
00_01,large_city,2046,Bangladesh,4.578851596753566
00_01,rural,2046,Bangladesh,2.3565822884625027
00_01,town,2046,Bangladesh,3.3578245042859494
02_05,city,2046,Bangladesh,3.9683380505197574
02_05,large_city,2046,Bangladesh,4.578851596753566
02_05,rural,2046,Bangladesh,2.3565822884625027
02_05,town,2046,Bangladesh,3.3578245042859494
06_10,city,2046,Bangladesh,3.9683380505197574
06_10,large_city,2046,Bangladesh,4.578851596753566
06_10,rural,2046,Bangladesh,2.3565822884625027
06_10,town,2046,Bangladesh,3.3578245042859494
11_20,city,2046,Bangladesh,3.9683380505197574
11_20,large_city,2046,Bangladesh,4.578851596753566
11_20,rural,2046,Bangladesh,2.3565822884625027
11_20,town,2046,Bangladesh,3.3578245042859494
21_30,city,2046,Bangladesh,3.9683380505197574
21_30,large_city,2046,Bangladesh,4.578851596753566
21_30,rural,2046,Bangladesh,2.3565822884625027
21_30,town,2046,Bangladesh,3.3578245042859494
31_50,city,2046,Bangladesh,3.9683380505197574
31_50,large_city,2046,Bangladesh,4.578851596753566
31_50,rural,2046,Bangladesh,2.3565822884625027
31_50,town,2046,Bangladesh,3.3578245042859494
51+,city,2046,Bangladesh,3.9683380505197574
51+,large_city,2046,Bangladesh,4.578851596753566
51+,rural,2046,Bangladesh,2.3565822884625027
51+,town,2046,Bangladesh,3.3578245042859494
No_travel,city,2046,Bangladesh,3.9683380505197574
No_travel,large_city,2046,Bangladesh,4.578851596753566
No_travel,rural,2046,Bangladesh,2.3565822884625027
No_travel,town,2046,Bangladesh,3.3578245042859494
00_01,city,2047,Bangladesh,3.9954409526426855
00_01,large_city,2047,Bangladesh,4.610124176126174
00_01,rural,2047,Bangladesh,2.372677242646272
00_01,town,2047,Bangladesh,3.3807577291591957
02_05,city,2047,Bangladesh,3.9954409526426855
02_05,large_city,2047,Bangladesh,4.610124176126174
02_05,rural,2047,Bangladesh,2.372677242646272
02_05,town,2047,Bangladesh,3.3807577291591957
06_10,city,2047,Bangladesh,3.9954409526426855
06_10,large_city,2047,Bangladesh,4.610124176126174
06_10,rural,2047,Bangladesh,2.372677242646272
06_10,town,2047,Bangladesh,3.3807577291591957
11_20,city,2047,Bangladesh,3.9954409526426855
11_20,large_city,2047,Bangladesh,4.610124176126174
11_20,rural,2047,Bangladesh,2.372677242646272
11_20,town,2047,Bangladesh,3.3807577291591957
21_30,city,2047,Bangladesh,3.9954409526426855
21_30,large_city,2047,Bangladesh,4.610124176126174
21_30,rural,2047,Bangladesh,2.372677242646272
21_30,town,2047,Bangladesh,3.3807577291591957
31_50,city,2047,Bangladesh,3.9954409526426855
31_50,large_city,2047,Bangladesh,4.610124176126174
31_50,rural,2047,Bangladesh,2.372677242646272
31_50,town,2047,Bangladesh,3.3807577291591957
51+,city,2047,Bangladesh,3.9954409526426855
51+,large_city,2047,Bangladesh,4.610124176126174
51+,rural,2047,Bangladesh,2.372677242646272
51+,town,2047,Bangladesh,3.3807577291591957
No_travel,city,2047,Bangladesh,3.9954409526426855
No_travel,large_city,2047,Bangladesh,4.610124176126174
No_travel,rural,2047,Bangladesh,2.372677242646272
No_travel,town,2047,Bangladesh,3.3807577291591957
00_01,city,2048,Bangladesh,4.022543854765613
00_01,large_city,2048,Bangladesh,4.641396755498783
00_01,rural,2048,Bangladesh,2.388772196830041
00_01,town,2048,Bangladesh,3.403690954032442
02_05,city,2048,Bangladesh,4.022543854765613
02_05,large_city,2048,Bangladesh,4.641396755498783
02_05,rural,2048,Bangladesh,2.388772196830041
02_05,town,2048,Bangladesh,3.403690954032442
06_10,city,2048,Bangladesh,4.022543854765613
06_10,large_city,2048,Bangladesh,4.641396755498783
06_10,rural,2048,Bangladesh,2.388772196830041
06_10,town,2048,Bangladesh,3.403690954032442
11_20,city,2048,Bangladesh,4.022543854765613
11_20,large_city,2048,Bangladesh,4.641396755498783
11_20,rural,2048,Bangladesh,2.388772196830041
11_20,town,2048,Bangladesh,3.403690954032442
21_30,city,2048,Bangladesh,4.022543854765613
21_30,large_city,2048,Bangladesh,4.641396755498783
21_30,rural,2048,Bangladesh,2.388772196830041
21_30,town,2048,Bangladesh,3.403690954032442
31_50,city,2048,Bangladesh,4.022543854765613
31_50,large_city,2048,Bangladesh,4.641396755498783
31_50,rural,2048,Bangladesh,2.388772196830041
31_50,town,2048,Bangladesh,3.403690954032442
51+,city,2048,Bangladesh,4.022543854765613
51+,large_city,2048,Bangladesh,4.641396755498783
51+,rural,2048,Bangladesh,2.388772196830041
51+,town,2048,Bangladesh,3.403690954032442
No_travel,city,2048,Bangladesh,4.022543854765613
No_travel,large_city,2048,Bangladesh,4.641396755498783
No_travel,rural,2048,Bangladesh,2.388772196830041
No_travel,town,2048,Bangladesh,3.403690954032442
00_01,city,2049,Bangladesh,4.04964675688854
00_01,large_city,2049,Bangladesh,4.672669334871392
00_01,rural,2049,Bangladesh,2.40486715101381
00_01,town,2049,Bangladesh,3.4266241789056884
02_05,city,2049,Bangladesh,4.04964675688854
02_05,large_city,2049,Bangladesh,4.672669334871392
02_05,rural,2049,Bangladesh,2.40486715101381
02_05,town,2049,Bangladesh,3.4266241789056884
06_10,city,2049,Bangladesh,4.04964675688854
06_10,large_city,2049,Bangladesh,4.672669334871392
06_10,rural,2049,Bangladesh,2.40486715101381
06_10,town,2049,Bangladesh,3.4266241789056884
11_20,city,2049,Bangladesh,4.04964675688854
11_20,large_city,2049,Bangladesh,4.672669334871392
11_20,rural,2049,Bangladesh,2.40486715101381
11_20,town,2049,Bangladesh,3.4266241789056884
21_30,city,2049,Bangladesh,4.04964675688854
21_30,large_city,2049,Bangladesh,4.672669334871392
21_30,rural,2049,Bangladesh,2.40486715101381
21_30,town,2049,Bangladesh,3.4266241789056884
31_50,city,2049,Bangladesh,4.04964675688854
31_50,large_city,2049,Bangladesh,4.672669334871392
31_50,rural,2049,Bangladesh,2.40486715101381
31_50,town,2049,Bangladesh,3.4266241789056884
51+,city,2049,Bangladesh,4.04964675688854
51+,large_city,2049,Bangladesh,4.672669334871392
51+,rural,2049,Bangladesh,2.40486715101381
51+,town,2049,Bangladesh,3.4266241789056884
No_travel,city,2049,Bangladesh,4.04964675688854
No_travel,large_city,2049,Bangladesh,4.672669334871392
No_travel,rural,2049,Bangladesh,2.40486715101381
No_travel,town,2049,Bangladesh,3.4266241789056884
00_01,city,2050,Bangladesh,4.076749659011468
00_01,large_city,2050,Bangladesh,4.703941914244
00_01,rural,2050,Bangladesh,2.4209621051975794
00_01,town,2050,Bangladesh,3.4495574037789347
02_05,city,2050,Bangladesh,4.076749659011468
02_05,large_city,2050,Bangladesh,4.703941914244
02_05,rural,2050,Bangladesh,2.4209621051975794
02_05,town,2050,Bangladesh,3.4495574037789347
06_10,city,2050,Bangladesh,4.076749659011468
06_10,large_city,2050,Bangladesh,4.703941914244
06_10,rural,2050,Bangladesh,2.4209621051975794
06_10,town,2050,Bangladesh,3.4495574037789347
11_20,city,2050,Bangladesh,4.076749659011468
11_20,large_city,2050,Bangladesh,4.703941914244
11_20,rural,2050,Bangladesh,2.4209621051975794
11_20,town,2050,Bangladesh,3.4495574037789347
21_30,city,2050,Bangladesh,4.076749659011468
21_30,large_city,2050,Bangladesh,4.703941914244
21_30,rural,2050,Bangladesh,2.4209621051975794
21_30,town,2050,Bangladesh,3.4495574037789347
31_50,city,2050,Bangladesh,4.076749659011468
31_50,large_city,2050,Bangladesh,4.703941914244
31_50,rural,2050,Bangladesh,2.4209621051975794
31_50,town,2050,Bangladesh,3.4495574037789347
51+,city,2050,Bangladesh,4.076749659011468
51+,large_city,2050,Bangladesh,4.703941914244
51+,rural,2050,Bangladesh,2.4209621051975794
51+,town,2050,Bangladesh,3.4495574037789347
No_travel,city,2050,Bangladesh,4.076749659011468
No_travel,large_city,2050,Bangladesh,4.703941914244
No_travel,rural,2050,Bangladesh,2.4209621051975794
No_travel,town,2050,Bangladesh,3.4495574037789347
00_01,city,2051,Bangladesh,4.100270877138411
00_01,large_city,2051,Bangladesh,4.7310817813135495
00_01,rural,2051,Bangladesh,2.434930090116041
00_01,town,2051,Bangladesh,3.469459972963271
02_05,city,2051,Bangladesh,4.100270877138411
02_05,large_city,2051,Bangladesh,4.7310817813135495
02_05,rural,2051,Bangladesh,2.434930090116041
02_05,town,2051,Bangladesh,3.469459972963271
06_10,city,2051,Bangladesh,4.100270877138411
06_10,large_city,2051,Bangladesh,4.7310817813135495
06_10,rural,2051,Bangladesh,2.434930090116041
06_10,town,2051,Bangladesh,3.469459972963271
11_20,city,2051,Bangladesh,4.100270877138411
11_20,large_city,2051,Bangladesh,4.7310817813135495
11_20,rural,2051,Bangladesh,2.434930090116041
11_20,town,2051,Bangladesh,3.469459972963271
21_30,city,2051,Bangladesh,4.100270877138411
21_30,large_city,2051,Bangladesh,4.7310817813135495
21_30,rural,2051,Bangladesh,2.434930090116041
