n,area_type,y,value
Bangladesh,city,2095,0.26499999999999996
Bangladesh,city,2096,0.26499999999999996
Bangladesh,city,2097,0.26499999999999996
Bangladesh,city,2098,0.26499999999999996
Bangladesh,city,2099,0.26499999999999996
Bangladesh,city,2100,0.26499999999999996
Bangladesh,large_city,2011,0.34
Bangladesh,large_city,2012,0.34263157894736845
Bangladesh,large_city,2013,0.3452631578947369
Bangladesh,large_city,2014,0.3478947368421053
Bangladesh,large_city,2015,0.3505263157894737
Bangladesh,large_city,2016,0.3531578947368421
Bangladesh,large_city,2017,0.35578947368421054
Bangladesh,large_city,2018,0.358421052631579
Bangladesh,large_city,2019,0.3610526315789474
Bangladesh,large_city,2020,0.36368421052631583
Bangladesh,large_city,2021,0.3663157894736842
Bangladesh,large_city,2022,0.36894736842105263
Bangladesh,large_city,2023,0.37157894736842106
Bangladesh,large_city,2024,0.3742105263157895
Bangladesh,large_city,2025,0.3768421052631579
Bangladesh,large_city,2026,0.37947368421052635
Bangladesh,large_city,2027,0.3821052631578947
Bangladesh,large_city,2028,0.38473684210526315
Bangladesh,large_city,2029,0.3873684210526316
Bangladesh,large_city,2030,0.39
Bangladesh,large_city,2031,0.391
Bangladesh,large_city,2032,0.392
Bangladesh,large_city,2033,0.393
Bangladesh,large_city,2034,0.394
Bangladesh,large_city,2035,0.395
Bangladesh,large_city,2036,0.396
Bangladesh,large_city,2037,0.397
Bangladesh,large_city,2038,0.398
Bangladesh,large_city,2039,0.399
Bangladesh,large_city,2040,0.4
Bangladesh,large_city,2041,0.401
Bangladesh,large_city,2042,0.402
Bangladesh,large_city,2043,0.403
Bangladesh,large_city,2044,0.404
Bangladesh,large_city,2045,0.405
Bangladesh,large_city,2046,0.406
Bangladesh,large_city,2047,0.40700000000000003
Bangladesh,large_city,2048,0.40800000000000003
Bangladesh,large_city,2049,0.40900000000000003
Bangladesh,large_city,2050,0.41000000000000003
Bangladesh,large_city,2051,0.41000000000000003
Bangladesh,large_city,2052,0.41000000000000003
Bangladesh,large_city,2053,0.41000000000000003
Bangladesh,large_city,2054,0.41000000000000003
Bangladesh,large_city,2055,0.41000000000000003
Bangladesh,large_city,2056,0.41000000000000003
Bangladesh,large_city,2057,0.41000000000000003
Bangladesh,large_city,2058,0.41000000000000003
Bangladesh,large_city,2059,0.41000000000000003
Bangladesh,large_city,2060,0.41000000000000003
Bangladesh,large_city,2061,0.41000000000000003
Bangladesh,large_city,2062,0.41000000000000003
Bangladesh,large_city,2063,0.41000000000000003
Bangladesh,large_city,2064,0.41000000000000003
Bangladesh,large_city,2065,0.41000000000000003
Bangladesh,large_city,2066,0.41000000000000003
Bangladesh,large_city,2067,0.41000000000000003
Bangladesh,large_city,2068,0.41000000000000003
Bangladesh,large_city,2069,0.41000000000000003
Bangladesh,large_city,2070,0.41000000000000003
Bangladesh,large_city,2071,0.41000000000000003
Bangladesh,large_city,2072,0.41000000000000003
Bangladesh,large_city,2073,0.41000000000000003
Bangladesh,large_city,2074,0.41000000000000003
Bangladesh,large_city,2075,0.41000000000000003
Bangladesh,large_city,2076,0.41000000000000003
Bangladesh,large_city,2077,0.41000000000000003
Bangladesh,large_city,2078,0.41000000000000003
Bangladesh,large_city,2079,0.41000000000000003
Bangladesh,large_city,2080,0.41000000000000003
Bangladesh,large_city,2081,0.41000000000000003
Bangladesh,large_city,2082,0.41000000000000003
Bangladesh,large_city,2083,0.41000000000000003
Bangladesh,large_city,2084,0.41000000000000003
Bangladesh,large_city,2085,0.41000000000000003
Bangladesh,large_city,2086,0.41000000000000003
Bangladesh,large_city,2087,0.41000000000000003
Bangladesh,large_city,2088,0.41000000000000003
Bangladesh,large_city,2089,0.41000000000000003
Bangladesh,large_city,2090,0.41000000000000003
Bangladesh,large_city,2091,0.41000000000000003
Bangladesh,large_city,2092,0.41000000000000003
Bangladesh,large_city,2093,0.41000000000000003
Bangladesh,large_city,2094,0.41000000000000003
Bangladesh,large_city,2095,0.41000000000000003
Bangladesh,large_city,2096,0.41000000000000003
Bangladesh,large_city,2097,0.41000000000000003
Bangladesh,large_city,2098,0.41000000000000003
Bangladesh,large_city,2099,0.41000000000000003
Bangladesh,large_city,2100,0.41000000000000003
Bangladesh,town,2011,0.36
Bangladesh,town,2012,0.35868421052631577
Bangladesh,town,2013,0.35736842105263156
Bangladesh,town,2014,0.35605263157894734
Bangladesh,town,2015,0.35473684210526313
Bangladesh,town,2016,0.3534210526315789
Bangladesh,town,2017,0.3521052631578947
Bangladesh,town,2018,0.3507894736842105
Bangladesh,town,2019,0.34947368421052627
Bangladesh,town,2020,0.34815789473684206
Bangladesh,town,2021,0.34684210526315784
Bangladesh,town,2022,0.3455263157894737
Bangladesh,town,2023,0.34421052631578947
Bangladesh,town,2024,0.34289473684210525
Bangladesh,town,2025,0.34157894736842104
Bangladesh,town,2026,0.3402631578947368
Bangladesh,town,2027,0.3389473684210526
Bangladesh,town,2028,0.3376315789473684
Bangladesh,town,2029,0.3363157894736842
Bangladesh,town,2030,0.33499999999999996
Bangladesh,town,2031,0.33449999999999996
Bangladesh,town,2032,0.33399999999999996
Bangladesh,town,2033,0.33349999999999996
Bangladesh,town,2034,0.33299999999999996
Bangladesh,town,2035,0.33249999999999996
Bangladesh,town,2036,0.33199999999999996
Bangladesh,town,2037,0.33149999999999996
Bangladesh,town,2038,0.33099999999999996
